client_id,nom,email,date_inscription,pays,email_valid,annee_inscription,mois_inscription,trimestre_inscription,jour_semaine,silver_processed_at,quality_score
1,Donald Walker,rhodespatricia@example.org,2024-12-20,Canada,True,2024,12,4,4,2026-01-20 09:42:49,100
2,Brandon Hall,hoffmanjennifer@example.net,2024-10-27,USA,True,2024,10,4,6,2026-01-20 09:42:49,100
3,Kevin Pacheco,blakeerik@example.com,2024-09-07,France,True,2024,9,3,5,2026-01-20 09:42:49,100
4,Tyler Rogers,jamesmichael@example.com,2024-01-27,Germany,True,2024,1,1,5,2026-01-20 09:42:49,100
5,Monica Herrera,smiller@example.net,2024-11-11,Germany,True,2024,11,4,0,2026-01-20 09:42:49,100
6,Laura Bush,stanleykendra@example.org,2024-11-27,UK,True,2024,11,4,2,2026-01-20 09:42:49,100
7,Jamie Chavez,francisco53@example.net,2025-08-13,Canada,True,2025,8,3,2,2026-01-20 09:42:49,100
8,Maria Lynch,amandasanchez@example.com,2023-11-08,Japan,True,2023,11,4,2,2026-01-20 09:42:49,100
9,Margaret Hawkins Dds,perezantonio@example.com,2024-03-10,Canada,True,2024,3,1,6,2026-01-20 09:42:49,100
10,Thomas Bradley,jason76@example.net,2024-04-03,China,True,2024,4,2,2,2026-01-20 09:42:49,100
11,David Hoffman,julie69@example.com,2024-06-05,India,True,2024,6,2,2,2026-01-20 09:42:49,100
12,Brenda Snyder Phd,hernandezernest@example.net,2024-02-20,USA,True,2024,2,1,1,2026-01-20 09:42:49,100
13,James Ferrell,tasha01@example.net,2024-04-26,USA,True,2024,4,2,4,2026-01-20 09:42:49,100
14,Patricia Peterson,ryan70@example.net,2025-09-14,Canada,True,2025,9,3,6,2026-01-20 09:42:49,100
15,Jonathan White,harrellkenneth@example.net,2025-09-05,Germany,True,2025,9,3,4,2026-01-20 09:42:49,100
16,James Martin,georgetracy@example.org,2024-07-28,Germany,True,2024,7,3,6,2026-01-20 09:42:49,100
17,Sandra Parker,allenashley@example.org,2025-11-02,Japan,True,2025,11,4,6,2026-01-20 09:42:49,100
18,Mr. Philip Cannon,donnaarroyo@example.org,2023-04-23,China,True,2023,4,2,6,2026-01-20 09:42:49,100
19,Jenny Lewis,jenniferross@example.net,2023-11-06,USA,True,2023,11,4,0,2026-01-20 09:42:49,100
20,Joseph Martinez,calebsmith@example.net,2024-12-31,Japan,True,2024,12,4,1,2026-01-20 09:42:49,100
21,Benjamin Welch,carlosjohnson@example.com,2023-09-28,Germany,True,2023,9,3,3,2026-01-20 09:42:49,100
22,Michael Lewis,jenniferkhan@example.net,2023-04-07,Japan,True,2023,4,2,4,2026-01-20 09:42:49,100
23,Rhonda Lee,hopkinsmichael@example.com,2024-06-20,India,True,2024,6,2,3,2026-01-20 09:42:49,100
24,Megan Joyce,brownjessica@example.org,2024-06-14,Germany,True,2024,6,2,4,2026-01-20 09:42:49,100
25,Jerry Henderson,steven17@example.net,2023-10-19,Brazil,True,2023,10,4,3,2026-01-20 09:42:49,100
26,Kimberly Smith,housemelinda@example.org,2023-05-07,China,True,2023,5,2,6,2026-01-20 09:42:49,100
27,Dr. Steven Martin,gallowayjoseph@example.com,2024-04-09,France,True,2024,4,2,1,2026-01-20 09:42:49,100
28,Monica Logan,smoore@example.org,2023-11-28,USA,True,2023,11,4,1,2026-01-20 09:42:49,100
29,Kimberly Adkins,williamsthomas@example.net,2025-12-15,UK,True,2025,12,4,0,2026-01-20 09:42:49,100
30,Angela Lopez,leonardjoe@example.org,2023-07-11,India,True,2023,7,3,1,2026-01-20 09:42:49,100
31,Lauren Williams,barnesbrandy@example.net,2025-11-16,Australia,True,2025,11,4,6,2026-01-20 09:42:49,100
32,Michael Edwards,randy47@example.com,2024-01-01,France,True,2024,1,1,0,2026-01-20 09:42:49,100
33,Alexandra Howell,jonesjason@example.com,2025-11-02,UK,True,2025,11,4,6,2026-01-20 09:42:49,100
34,Benjamin Sanchez,eric84@example.net,2023-06-14,Germany,True,2023,6,2,2,2026-01-20 09:42:49,100
35,Kendra Contreras,sarah12@example.com,2026-01-01,Australia,True,2026,1,1,3,2026-01-20 09:42:49,100
36,Juan Nelson,jenniferharris@example.net,2023-05-26,Canada,True,2023,5,2,4,2026-01-20 09:42:49,100
37,Danielle Odonnell,davisrodney@example.com,2025-08-10,Canada,True,2025,8,3,6,2026-01-20 09:42:49,100
38,Carlos Whitney,joycearnold@example.com,2023-03-09,India,True,2023,3,1,3,2026-01-20 09:42:49,100
39,Tony Vazquez,amydavenport@example.net,2024-09-25,Canada,True,2024,9,3,2,2026-01-20 09:42:49,100
40,Andrew Diaz,nolanjason@example.org,2024-09-16,Australia,True,2024,9,3,0,2026-01-20 09:42:49,100
41,Justin Baxter,sarayoung@example.org,2025-01-19,Australia,True,2025,1,1,6,2026-01-20 09:42:49,100
42,Sierra Johnson,kimberly63@example.com,2025-12-23,China,True,2025,12,4,1,2026-01-20 09:42:49,100
43,Janet Williams,dwalker@example.com,2023-07-13,France,True,2023,7,3,3,2026-01-20 09:42:49,100
44,Crystal Johnson,raymondramirez@example.org,2023-12-20,USA,True,2023,12,4,2,2026-01-20 09:42:49,100
45,Martin Ross,sheila14@example.org,2025-12-13,Brazil,True,2025,12,4,5,2026-01-20 09:42:49,100
46,Mrs. Linda Reed,samuel81@example.com,2024-10-16,Japan,True,2024,10,4,2,2026-01-20 09:42:49,100
47,Andrew Graham,michaeljones@example.net,2025-09-30,Canada,True,2025,9,3,1,2026-01-20 09:42:49,100
48,Mary Martinez,william65@example.com,2025-10-24,India,True,2025,10,4,4,2026-01-20 09:42:49,100
49,Cheryl Ortega,lbyrd@example.net,2025-02-21,Canada,True,2025,2,1,4,2026-01-20 09:42:49,100
50,Roy Torres,russellcarpenter@example.net,2024-10-04,Japan,True,2024,10,4,4,2026-01-20 09:42:49,100
51,Michael Dixon,donnacampbell@example.net,2024-01-07,France,True,2024,1,1,6,2026-01-20 09:42:49,100
52,Robert Potter,jeffrey32@example.org,2024-12-13,China,True,2024,12,4,4,2026-01-20 09:42:49,100
53,Miss Patricia Gibson,jennifercruz@example.com,2023-03-11,Australia,True,2023,3,1,5,2026-01-20 09:42:49,100
54,Abigail Potter,osbornejeffery@example.net,2023-10-14,China,True,2023,10,4,5,2026-01-20 09:42:49,100
